IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,65243,10.215.173.2,53,-1,Unknown,unknown,DNS,Closed,androidplatformbackuprestore-pa.googleapis.com,92,220,1,1,2026-07-14T06:56:02.815+09:30,2026-07-14T06:56:02.865+09:30
17,10.215.173.1,5994,10.215.173.2,53,1021,GPS,gps,DNS,Closed,1.pool.ntp.org,60,124,1,1,2026-07-14T06:56:02.858+09:30,2026-07-14T06:56:02.882+09:30
17,10.215.173.1,26110,10.215.173.2,53,1021,GPS,gps,DNS,Closed,0.pool.ntp.org,60,124,1,1,2026-07-14T06:56:02.860+09:30,2026-07-14T06:56:02.867+09:30
17,10.215.173.1,3155,10.215.173.2,53,1021,GPS,gps,DNS,Closed,2.pool.ntp.org,60,124,1,1,2026-07-14T06:56:02.862+09:30,2026-07-14T06:56:03.057+09:30
17,10.215.173.1,55992,10.215.173.2,53,1021,GPS,gps,DNS,Closed,3.pool.ntp.org,60,124,1,1,2026-07-14T06:56:02.865+09:30,2026-07-14T06:56:02.892+09:30
17,10.215.173.1,53628,43.224.181.207,123,1021,GPS,gps,NTP,Closed,0.pool.ntp.org,76,76,1,1,2026-07-14T06:56:02.872+09:30,2026-07-14T06:56:02.927+09:30
17,10.215.173.1,30772,10.215.173.2,53,10163,Google Play services,com.google.android.gms,DNS,Closed,mtalk.google.com,62,107,1,1,2026-07-14T06:56:02.873+09:30,2026-07-14T06:56:02.882+09:30
17,10.215.173.1,37491,144.6.238.198,123,1021,GPS,gps,NTP,Closed,1.pool.ntp.org,76,76,1,1,2026-07-14T06:56:02.886+09:30,2026-07-14T06:56:02.922+09:30
6,10.215.173.1,43990,142.250.4.188,5228,10163,Google Play services,com.google.android.gms,TLS,Closed,mtalk.google.com,1467,1717,9,9,2026-07-14T06:56:02.893+09:30,2026-07-14T06:57:04.142+09:30
17,10.215.173.1,40026,110.232.114.22,123,1021,GPS,gps,NTP,Closed,3.pool.ntp.org,76,76,1,1,2026-07-14T06:56:02.894+09:30,2026-07-14T06:56:02.927+09:30
17,10.215.173.1,57926,203.29.241.127,123,1021,GPS,gps,NTP,Closed,2.pool.ntp.org,76,76,1,1,2026-07-14T06:56:03.068+09:30,2026-07-14T06:56:03.095+09:30
17,10.215.173.1,40753,10.215.173.2,53,10182,Google Play Store,com.android.vending,DNS,Closed,play.googleapis.com,65,193,1,1,2026-07-14T06:56:06.496+09:30,2026-07-14T06:56:06.526+09:30
6,10.215.173.1,60808,172.217.118.4,443,10182,Google Play Store,com.android.vending,HTTPS,Closed,play.googleapis.com,7435,2177,9,10,2026-07-14T06:56:06.551+09:30,2026-07-14T06:56:06.955+09:30
6,10.215.173.1,60812,172.217.118.4,443,10182,Google Play Store,com.android.vending,HTTPS,Closed,play.googleapis.com,4543,2340,9,9,2026-07-14T06:56:07.178+09:30,2026-07-14T06:56:07.572+09:30
17,10.215.173.1,49273,10.215.173.2,53,10163,Google Play services,com.google.android.gms,DNS,Closed,playgateway-pa.googleapis.com,75,203,1,1,2026-07-14T06:56:15.209+09:30,2026-07-14T06:56:15.258+09:30
17,10.215.173.1,42508,172.217.118.4,443,10163,Google Play services,com.google.android.gms,QUIC,Closed,playgateway-pa.googleapis.com,8306,8727,16,20,2026-07-14T06:56:15.281+09:30,2026-07-14T06:56:18.287+09:30
17,10.215.173.1,36931,10.215.173.2,53,10172,Google,com.google.android.googlequicksearchbox,DNS,Closed,www.google.com,60,188,1,1,2026-07-14T06:56:17.734+09:30,2026-07-14T06:56:17.742+09:30
17,10.215.173.1,58498,142.251.155.119,443,10172,Google,com.google.android.googlequicksearchbox,QUIC,Closed,www.google.com,14288,11811,20,23,2026-07-14T06:56:17.749+09:30,2026-07-14T06:56:18.271+09:30
6,10.215.173.1,36228,142.251.155.119,443,10172,Google,com.google.android.googlequicksearchbox,HTTPS,Closed,www.google.com,2685,1740,8,6,2026-07-14T06:56:17.755+09:30,2026-07-14T06:56:27.984+09:30
17,10.215.173.1,25298,10.215.173.2,53,10172,Google,com.google.android.googlequicksearchbox,DNS,Closed,encrypted-tbn0.gstatic.com,72,168,1,1,2026-07-14T06:56:18.139+09:30,2026-07-14T06:56:18.164+09:30
17,10.215.173.1,39353,192.178.188.138,443,10172,Google,com.google.android.googlequicksearchbox,QUIC,Closed,encrypted-tbn0.gstatic.com,7744,30852,32,44,2026-07-14T06:56:18.168+09:30,2026-07-14T06:56:18.436+09:30
17,10.215.173.1,35560,10.215.173.2,53,10163,Google Play services,com.google.android.gms,DNS,Closed,lh3.googleusercontent.com,71,116,1,1,2026-07-14T06:56:18.264+09:30,2026-07-14T06:56:18.290+09:30
17,10.215.173.1,43554,192.178.188.132,443,10163,Google Play services,com.google.android.gms,QUIC,Closed,lh3.googleusercontent.com,9828,56592,34,53,2026-07-14T06:56:18.299+09:30,2026-07-14T06:56:18.773+09:30
17,10.215.173.1,49939,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,129,1,1,2026-07-14T06:56:18.984+09:30,2026-07-14T06:56:19.014+09:30
17,10.215.173.1,58808,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usapi.gizwits.com,63,161,1,1,2026-07-14T06:56:18.985+09:30,2026-07-14T06:56:19.020+09:30
17,10.215.173.1,55638,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usm2m.gizwits.com,63,159,1,1,2026-07-14T06:56:18.988+09:30,2026-07-14T06:56:19.032+09:30
17,10.215.173.1,10380,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,usm2m.gizwits.com,63,159,1,1,2026-07-14T06:56:18.990+09:30,2026-07-14T06:56:19.019+09:30
6,10.215.173.1,42424,34.196.48.66,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Error,,1077,8647,9,10,2026-07-14T06:56:18.991+09:30,2026-07-14T06:56:20.134+09:30
6,10.215.173.1,42436,34.196.48.66,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Error,,1117,8640,10,11,2026-07-14T06:56:18.992+09:30,2026-07-14T06:56:20.134+09:30
17,10.215.173.1,60363,255.255.255.255,12414,10368,Jebao Aqua,com.jebao.android,UDP,Closed,,684,0,19,0,2026-07-14T06:56:18.994+09:30,2026-07-14T06:57:24.335+09:30
6,10.215.173.1,42448,34.196.48.66,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Error,,1037,8607,8,9,2026-07-14T06:56:18.997+09:30,2026-07-14T06:56:20.113+09:30
6,10.215.173.1,42450,34.196.48.66,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Error,,1037,8560,8,9,2026-07-14T06:56:18.998+09:30,2026-07-14T06:56:20.110+09:30
17,10.215.173.1,20269,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,appmonitor.gizwits.com,68,84,1,1,2026-07-14T06:56:18.998+09:30,2026-07-14T06:56:19.004+09:30
6,10.215.173.1,58316,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,1911,5325,8,10,2026-07-14T06:56:19.007+09:30,2026-07-14T06:56:20.422+09:30
17,10.215.173.1,51135,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,77,1,1,2026-07-14T06:56:20.032+09:30,2026-07-14T06:56:20.043+09:30
17,10.215.173.1,20578,10.215.173.2,53,10368,Jebao Aqua,com.jebao.android,DNS,Closed,api.gizwits.com,61,61,1,1,2026-07-14T06:56:20.040+09:30,2026-07-14T06:56:20.404+09:30
6,10.215.173.1,58330,175.178.204.40,443,10368,Jebao Aqua,com.jebao.android,HTTPS,Closed,appmonitor.gizwits.com,1884,5325,8,10,2026-07-14T06:56:20.431+09:30,2026-07-14T06:56:21.778+09:30
